period,reporterDesc,flowDesc,country,primaryValue,gdp
2006,Algeria,Export,Belgium,1998303119,4.08E+11
2006,Algeria,Export,Bulgaria,665599,34380536496
2006,Algeria,Export,Croatia,834314,49583544860
2006,Algeria,Export,Cyprus,9586065,20072754987
2006,Algeria,Export,Czechia,18227,1.56E+11
2006,Algeria,Export,Denmark,34123,2.83E+11
2006,Algeria,Export,Estonia,45933,17025671810
2006,Algeria,Export,Finland,59100766,2.17E+11
2006,Algeria,Export,France,4569913513,2.32E+12
2006,Algeria,Export,Germany,396268829,3.05E+12
2006,Algeria,Export,Greece,188982355,2.69E+11
2006,Algeria,Export,Ireland,38937120,2.32E+11
2006,Algeria,Export,Italy,9314360583,1.96E+12
2006,Algeria,Export,Malta,19444695,6749838806
2006,Algeria,Export,Luxembourg,1759,42910146296
2006,Algeria,Export,Netherlands,2844658247,7.38E+11
2006,Algeria,Export,Poland,833571,3.46E+11
2006,Algeria,Export,Portugal,1614567145,2.09E+11
2006,Algeria,Export,Romania,226569,1.22E+11
2006,Algeria,Export,Spain,5982906172,1.26E+12
2006,Algeria,Export,Sweden,23378760,4.23E+11
