period,reporterDesc,flowDesc,country,exports,gdp
2006,Austria,Export,Belgium,2070925076,4.08E+11
2006,Austria,Export,Bulgaria,700120188,34380536496
2006,Austria,Export,Croatia,1659287222,49583544860
2006,Austria,Export,Cyprus,64123567,20072754987
2006,Austria,Export,Czechia,4125977259,1.56E+11
2006,Austria,Export,Denmark,916224765,2.83E+11
2006,Austria,Export,Estonia,184413728,17025671810
2006,Austria,Export,Finland,707394366,2.17E+11
2006,Austria,Export,France,5406791922,2.32E+12
2006,Austria,Export,Germany,42702395698,3.05E+12
2006,Austria,Export,Greece,758318224,2.69E+11
2006,Austria,Export,Hungary,4367596616,1.16E+11
2006,Austria,Export,Ireland,422678371,2.32E+11
2006,Austria,Export,Italy,11649070496,1.96E+12
2006,Austria,Export,Latvia,170288760,20434922247
2006,Austria,Export,Lithuania,184860068,30116192747
2006,Austria,Export,Luxembourg,210358636,42910146296
2006,Austria,Export,Malta,271023733,6749838806
2006,Austria,Export,Netherlands,2320247146,7.38E+11
2006,Austria,Export,Poland,2984185190,3.46E+11
2006,Austria,Export,Portugal,539902529,2.09E+11
2006,Austria,Export,Romania,2368816972,1.22E+11
2006,Austria,Export,Slovakia,2231324631,70751813443
2006,Austria,Export,Slovenia,2436856841,39260368837
2006,Austria,Export,Spain,3625091806,1.26E+12
2006,Austria,Export,Sweden,1381562509,4.23E+11
