typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,country,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,imports,legacyEstimationFlag,isReported,isAggregate,gdp
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,M,Import,40,AUT,Austria,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,20215534,,20215534,0,TRUE,FALSE,3.34E+11
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,M,Import,56,BEL,Belgium,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,55541768,,55541768,0,TRUE,FALSE,4.08E+11
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,M,Import,100,BGR,Bulgaria,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,11963286,,11963286,0,TRUE,FALSE,34380536496
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,M,Import,191,HRV,Croatia,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,8220783,,8220783,0,TRUE,FALSE,49583544860
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,M,Import,203,CZE,Czechia,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,16056521,,16056521,0,TRUE,FALSE,1.56E+11
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,M,Import,196,CYP,Cyprus,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,1208840,,1208840,0,TRUE,FALSE,20072754987
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,M,Import,208,DNK,Denmark,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,62184661,,62184661,0,TRUE,FALSE,2.83E+11
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,M,Import,233,EST,Estonia,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,154891,,154891,0,TRUE,FALSE,17025671810
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,M,Import,246,FIN,Finland,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,43161813,,43161813,0,TRUE,FALSE,2.17E+11
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,M,Import,251,FRA,France,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,142428268,,142428268,0,TRUE,FALSE,2.32E+12
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,M,Import,276,DEU,Germany,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,425937859,,425937859,0,TRUE,FALSE,3.05E+12
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,M,Import,300,GRC,Greece,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,12629520,,12629520,0,TRUE,FALSE,2.69E+11
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,M,Import,348,HUN,Hungary,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,8316001,,8316001,0,TRUE,FALSE,1.16E+11
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,M,Import,372,IRL,Ireland,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,2513531,,2513531,0,TRUE,FALSE,2.32E+11
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,M,Import,380,ITA,Italy,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,202621971,,202621971,0,TRUE,FALSE,1.96E+12
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,M,Import,440,LTU,Lithuania,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,920009,,920009,0,TRUE,FALSE,30116192747
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,M,Import,428,LVA,Latvia,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,174313,,174313,0,TRUE,FALSE,20434922247
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,M,Import,442,LUX,Luxembourg,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,269677,,269677,0,TRUE,FALSE,42910146296
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,M,Import,470,MLT,Malta,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,70142,,70142,0,TRUE,FALSE,6749838806
