typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,country,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,exports,legacyEstimationFlag,isReported,isAggregate,gdp
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,X,Export,40,AUT,Austria,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,30973265,30973265,0,TRUE,FALSE,3.34E+11
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,X,Export,56,BEL,Belgium,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,399904328,399904328,0,TRUE,FALSE,4.08E+11
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,X,Export,100,BGR,Bulgaria,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,1518418,1518418,0,TRUE,FALSE,34380536496
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,X,Export,191,HRV,Croatia,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,529725,529725,0,TRUE,FALSE,49583544860
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,X,Export,196,CYP,Cyprus,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,1108722,1108722,0,TRUE,FALSE,20072754987
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,X,Export,208,DNK,Denmark,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,106696475,106696475,0,TRUE,FALSE,2.83E+11
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,X,Export,233,EST,Estonia,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,214767,214767,0,TRUE,FALSE,17025671810
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,X,Export,203,CZE,Czechia,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,12870218,12870218,0,TRUE,FALSE,1.56E+11
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,X,Export,246,FIN,Finland,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,26038785,26038785,0,TRUE,FALSE,2.17E+11
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,X,Export,251,FRA,France,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,708840778,708840778,0,TRUE,FALSE,2.32E+12
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,X,Export,276,DEU,Germany,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,1758079279,1758079279,0,TRUE,FALSE,3.05E+12
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,X,Export,300,GRC,Greece,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,20509227,20509227,0,TRUE,FALSE,2.69E+11
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,X,Export,348,HUN,Hungary,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,9434293,9434293,0,TRUE,FALSE,1.16E+11
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,X,Export,372,IRL,Ireland,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,92766316,92766316,0,TRUE,FALSE,2.32E+11
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,X,Export,380,ITA,Italy,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,476078650,476078650,0,TRUE,FALSE,1.96E+12
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,X,Export,428,LVA,Latvia,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,263941,263941,0,TRUE,FALSE,20434922247
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,X,Export,440,LTU,Lithuania,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,290868,290868,0,TRUE,FALSE,30116192747
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,X,Export,470,MLT,Malta,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,1524032,1524032,0,TRUE,FALSE,6749838806
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,X,Export,528,NLD,Netherlands,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,385226574,385226574,0,TRUE,FALSE,7.38E+11
C,A,20060101,2006,52,2006,50,BGD,Bangladesh,X,Export,616,POL,Poland,0,W00,World,H2,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,28751729,28751729,0,TRUE,FALSE,3.46E+11
