Series Name,Series Code,Country Name,Country Code,2006 [YR2006],,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,3.33906E+11,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,4.0826E+11,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,34380536496,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,49583544860,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Cyprus,CYP,20072754987,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Czechia,CZE,1.56236E+11,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,2.83386E+11,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Estonia,EST,17025671810,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Finland,FIN,2.17044E+11,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,2.31786E+12,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,3.04631E+12,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Greece,GRC,2.69073E+11,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Hungary,HUN,1.15604E+11,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Ireland,IRL,2.32181E+11,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Italy,ITA,1.95856E+12,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Latvia,LVA,20434922247,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Lithuania,LTU,30116192747,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Luxembourg,LUX,42910146296,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Sweden,SWE,4.22528E+11,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Malta,MLT,6749838806,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Netherlands,NLD,7.37594E+11,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Poland,POL,3.45898E+11,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Portugal,PRT,2.08756E+11,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Romania,ROU,1.22024E+11,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Slovenia,SVN,39260368837,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Spain,ESP,1.26185E+12,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Slovak Republic,SVK,70751813443,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,
Last Updated: 02/24/2026,,,,,,,,,,,,,,
Code,License Type,Indicator Name,Long definition,Source,Topic,Dataset,Unit of measure,Periodicity,Reference period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,License URL
